rmse,mae,auroc,pred_auc,Model,Dataset,Miss_Rate,Seed,DB_Type
0.3319291619701837,0.12072663630312158,,0.7013969648287058,KD,credit,0.5,42,light
0.31995491294913975,0.11270064250946277,,0.8126437573137343,Student_Baseline,credit,0.5,42,light
0.18282974796631465,0.14723064359024896,0.8013001695873375,,GAIN,wine,0.05,42,light
0.1927822903992004,0.15632075051390315,0.7464669304691917,,WGAN_FWAL,wine,0.05,42,light
0.17769797670136664,0.13992439082553132,0.7970604861503675,,KD,wine,0.05,42,light
0.17591255018203203,0.14122758201322133,0.7967778405879028,,Student_Baseline,wine,0.05,42,light
0.1827503796762923,0.14232173381620422,0.7819302386572252,,GAIN,wine,0.1,42,light
0.19477208619496109,0.15535975235823715,0.7996328350380277,,WGAN_FWAL,wine,0.1,42,light
0.18077676051696911,0.1433977813416727,0.8428402832415421,,KD,wine,0.1,42,light
0.1788364494341427,0.14174644179529974,0.830776291633884,,Student_Baseline,wine,0.1,42,light
0.19252945404682242,0.15165613393189145,0.7875209100033457,,GAIN,wine,0.2,42,light
0.2054800509580555,0.16328668743320884,0.7182669789227165,,WGAN_FWAL,wine,0.2,42,light
0.17945305570479028,0.14123037679193517,0.8486952157912345,,KD,wine,0.2,42,light
0.20036055649389745,0.16128397197262934,0.7816661090665774,,Student_Baseline,wine,0.2,42,light
0.19177319275770205,0.15107273474903224,0.7780819749960436,,GAIN,wine,0.3,42,light
0.19490361933603353,0.1522374518340324,0.7929498338344675,,WGAN_FWAL,wine,0.3,42,light
0.17631247149639498,0.1331334275613525,0.8402674473809146,,KD,wine,0.3,42,light
0.19422946322046533,0.15436036370213085,0.7772194967558158,,Student_Baseline,wine,0.3,42,light
0.21174733024187264,0.17181801255353638,0.681553859056264,,GAIN,wine,0.5,42,light
0.20165001380307168,0.1594136056982557,0.7597247231198048,,WGAN_FWAL,wine,0.5,42,light
0.1991184952066498,0.15460431148713116,0.7600083865716187,,KD,wine,0.5,42,light
0.2141897679593305,0.1736945348316519,0.6709658123874596,,Student_Baseline,wine,0.5,42,light
0.3054816870762418,0.15375654291689073,0.8737981094637709,0.7193420689547103,GAIN,student,0.05,42,light
0.27457452766431195,0.14291325804543406,0.8747415943482281,0.7243382596223469,WGAN_FWAL,student,0.05,42,light
0.2590510893618282,0.13112884865922117,0.8697216716336782,0.7278745843605837,KD,student,0.05,42,light
0.2678583804189262,0.12772095647853454,0.88129851166675,0.7234358929955034,Student_Baseline,student,0.05,42,light
0.259796991808147,0.12450690248215782,0.8781521524393389,0.7227531596666459,GAIN,student,0.1,42,light
0.2699803665660784,0.1381222890028715,0.8710960808629136,0.7153265679911367,WGAN_FWAL,student,0.1,42,light
0.26480126021917694,0.13407816035774098,0.8646644564069846,0.7195956868424944,KD,student,0.1,42,light
0.26583767764572747,0.12829192014168428,0.8737478419610849,0.7088809942195372,Student_Baseline,student,0.1,42,light
0.2610143461847208,0.1289210448571194,0.8655794785545968,0.7153925658181477,GAIN,student,0.2,42,light
0.26818939281508325,0.13868396193883703,0.8684443908050804,0.7011039180837952,WGAN_FWAL,student,0.2,42,light
0.2583519929028444,0.13201579995070806,0.8660840759278567,0.7209213909831979,KD,student,0.2,42,light
0.256189155300501,0.12305669786956791,0.8740353900254223,0.7135958685264867,Student_Baseline,student,0.2,42,light
0.26561198054497,0.13147086640190553,0.8542176586151476,0.7155798817073372,GAIN,student,0.3,42,light
0.26734843639268707,0.13983535194315833,0.8621019670877005,0.6975192341146843,WGAN_FWAL,student,0.3,42,light
0.26310298289880785,0.13545556165011624,0.862243926570821,0.7013314503664982,KD,student,0.3,42,light
0.25950049015015547,0.12456988355532335,0.8679428416003564,0.7134884907253853,Student_Baseline,student,0.3,42,light
0.2749025319044047,0.140404952354454,0.8407546363895854,0.6797474718695191,GAIN,student,0.5,42,light
0.26576564172153005,0.14106521587261092,0.8537743462322085,0.6707135814153192,WGAN_FWAL,student,0.5,42,light
0.2746052753956793,0.14149408407393477,0.8527321673965189,0.6843953384985465,KD,student,0.5,42,light
